Src_NodeID,Dest_NodeID,Weight,B1,B2,B3,B4
86,201,81.55,1,1,0,1
566,284,54.63,0,0,0,1
781,245,87.49,1,0,1,0
387,258,22.96,0,1,0,0
583,567,94.12,0,1,0,1
661,802,95.97,1,1,1,1
273,143,28.87,1,0,1,0
739,531,2.46,0,0,0,1
191,466,7.2,1,1,0,0
53,159,69.43,0,1,0,0
424,428,98.72,0,0,0,1
7,740,7.05,1,1,1,0
565,343,64.71,1,1,1,0
417,918,43.5,1,1,0,0
833,560,44.14,0,0,1,0
850,622,91.86,0,1,1,1
718,230,71.7,1,0,1,0
632,549,27.07,0,1,0,1
943,749,88.21,1,1,1,0
209,407,38.02,1,0,1,0
780,487,16.42,0,1,1,1
133,583,39.23,0,1,0,0
378,233,36.56,1,0,0,1
217,71,52.35,1,0,1,1
431,780,31.33,0,1,1,1
75,870,14.79,1,1,0,1
101,130,78.74,1,0,0,1
223,203,61.29,1,0,0,0
622,359,9.35,0,1,1,0
165,645,82.28,0,0,1,0
369,305,87.13,1,1,0,1
857,407,89.79,1,0,0,1
738,493,41.62,0,0,0,0
235,972,21.66,1,0,1,0
95,569,35.82,0,0,1,1
901,956,2.59,0,0,0,0
743,718,24.29,1,1,1,1
949,891,15.22,1,1,1,0
798,980,62.37,1,1,1,1
930,689,34.38,1,1,0,1
493,834,1.08,1,1,1,1
529,13,76.49,1,1,1,0
224,938,80.26,1,0,1,0
667,569,70.31,1,0,0,0
392,575,87.25,1,0,0,0
690,534,81.05,0,0,1,0
814,106,9.95,0,0,1,1
442,381,4.72,0,0,0,0
319,363,57.73,0,1,0,0
768,161,42.64,0,0,0,0
898,432,83.49,0,0,0,0
914,852,78.16,1,0,0,0
410,838,65.25,1,1,0,1
143,720,88.75,1,0,1,0
969,586,47.63,0,1,0,0
834,521,92.44,1,1,1,0
789,914,63.84,0,1,0,1
740,148,98.91,0,0,1,0
118,485,89.74,1,0,0,1
796,295,99.07,1,0,0,1
752,262,67.23,1,1,0,1
