NodeID,A1,A2,A3,A4,A5
0,0,1,0,0,0
1,1,1,0,1,1
2,0,1,0,0,1
3,0,1,0,0,0
4,1,1,0,0,0
5,1,1,1,0,1
6,1,0,0,1,0
7,0,0,1,1,1
8,1,0,1,1,1
9,0,1,0,1,0
10,1,1,0,1,1
11,0,0,1,0,0
12,1,0,0,0,0
13,1,0,1,1,1
14,0,1,1,1,0
15,0,1,1,1,1
16,0,0,1,0,0
17,1,0,0,1,0
18,1,0,1,0,1
19,1,1,0,0,1
20,1,1,0,0,0
21,0,0,1,0,1
22,1,1,0,0,1
23,1,1,1,0,0
24,1,1,1,0,1
25,0,1,1,0,1
26,0,1,0,1,0
27,0,0,1,0,1
28,1,1,0,0,1
29,1,1,1,0,0
30,1,0,0,1,0
31,0,1,0,0,1
32,0,1,0,1,1
33,0,0,1,1,1
34,1,1,1,0,1
35,1,0,0,0,0
36,0,1,0,1,1
37,0,0,0,0,0
38,1,1,1,0,0
39,1,1,0,0,0
40,0,0,1,1,1
41,1,0,1,0,1
42,0,1,1,1,0
43,0,1,0,0,1
44,0,0,1,0,0
45,1,1,1,1,0
46,1,0,0,1,0
47,1,0,0,0,0
48,0,0,0,0,0
49,0,1,0,0,0
50,1,0,0,0,1
51,0,0,1,1,1
52,0,1,1,1,0
53,0,1,1,1,1
54,0,1,1,1,1
55,1,1,1,1,0
56,1,0,1,0,1
57,1,0,0,1,1
58,0,1,0,0,1
59,0,0,0,0,0
60,1,0,1,0,0
61,1,1,0,1,1
62,1,1,1,0,1
63,1,1,1,0,1
64,1,1,0,1,1
65,1,0,0,1,1
66,0,1,1,0,0
67,1,0,1,1,0
68,0,0,1,1,0
69,1,0,1,1,1
70,0,1,0,1,0
71,0,0,1,0,1
72,1,0,1,0,0
73,1,0,1,1,0
74,1,1,1,1,1
75,0,1,0,1,1
76,1,1,0,0,0
77,0,1,0,1,1
78,1,1,0,0,1
79,0,1,1,0,1
80,1,1,0,1,0
81,1,1,1,0,0
82,0,1,1,0,0
83,1,1,1,0,1
84,1,1,1,0,0
85,0,1,1,1,0
86,0,1,0,1,1
87,1,0,1,0,0
88,1,0,1,1,0
89,0,1,0,0,1
90,0,1,0,1,1
91,1,1,1,1,0
92,1,0,0,0,1
93,0,1,1,1,1
94,1,1,0,0,1
95,1,0,0,0,1
96,0,1,0,1,1
97,1,0,1,0,0
98,1,0,1,0,0
99,1,1,0,0,1
100,0,0,1,0,1
101,1,0,0,0,1
102,0,0,1,0,1
103,0,1,0,0,0
104,0,0,1,0,0
105,1,0,1,1,0
106,0,0,1,1,0
107,1,1,0,0,1
108,1,1,0,1,1
109,1,0,1,1,1
110,0,1,0,1,1
111,0,1,1,1,1
112,1,1,1,0,0
113,1,0,0,0,0
114,0,1,1,0,1
115,0,1,1,0,1
116,0,0,1,1,0
117,0,1,1,1,0
118,1,1,1,0,0
119,0,1,1,1,0
120,0,1,0,0,0
121,0,1,0,0,1
122,1,0,0,1,0
123,1,0,1,1,0
124,1,1,1,0,0
125,0,0,0,0,1
126,0,0,0,1,1
127,0,1,1,0,1
128,1,0,1,0,1
129,0,1,1,1,1
130,1,1,0,0,0
131,0,0,1,0,0
132,1,1,0,1,1
133,0,0,1,0,1
134,1,0,0,1,0
135,0,1,1,0,1
136,1,0,1,1,1
137,1,0,1,1,0
138,1,0,0,1,0
139,0,1,0,1,0
140,0,0,1,1,1
141,1,1,0,0,0
142,0,1,1,0,1
143,0,1,0,1,1
144,0,0,0,1,0
145,0,0,0,0,0
146,0,0,0,0,1
147,1,1,0,0,1
148,0,0,1,1,1
149,0,0,0,1,1
150,0,1,0,0,0
151,1,0,1,1,1
152,0,1,0,1,1
153,0,0,1,0,0
154,1,0,0,0,0
155,0,1,1,0,0
156,0,0,1,0,1
157,0,0,1,1,1
158,1,0,1,1,0
159,1,1,1,0,0
160,0,0,0,0,0
161,1,0,1,1,0
162,1,0,0,0,0
163,1,1,0,1,1
164,0,0,0,0,1
165,1,0,0,0,1
166,1,1,0,1,0
167,0,0,1,1,1
168,0,1,1,0,1
169,0,1,1,0,0
170,0,1,1,1,0
171,1,1,0,1,1
172,0,1,1,0,1
173,1,1,0,0,1
174,0,1,1,1,1
175,0,0,0,1,1
176,1,0,1,1,0
177,0,0,1,0,0
178,1,0,0,1,1
179,0,0,1,1,0
180,0,1,1,0,0
181,1,1,1,0,0
182,1,1,0,1,1
183,1,1,0,1,0
184,1,0,1,0,1
185,0,1,1,0,1
186,0,1,0,0,1
187,0,1,0,1,0
188,1,0,0,1,1
189,1,1,0,0,0
190,1,0,1,0,1
191,1,1,1,0,1
192,1,0,1,1,1
193,1,1,0,0,1
194,0,0,0,0,0
195,0,1,1,0,1
196,1,1,1,0,0
197,1,1,1,1,0
198,0,0,0,1,1
199,1,1,1,0,0
200,1,0,0,1,0
201,0,1,1,1,0
202,1,1,0,0,1
203,0,1,0,1,1
204,1,1,1,1,1
205,0,0,1,0,1
206,0,1,1,1,0
207,0,0,1,0,1
208,1,1,1,0,0
209,1,1,0,1,0
210,0,1,0,1,1
211,0,1,0,0,1
212,0,1,1,1,1
213,0,0,1,1,1
214,0,0,0,0,0
215,1,0,1,0,1
216,1,1,1,0,0
217,1,0,1,1,0
218,1,0,1,0,0
219,1,0,1,1,0
220,0,1,1,0,0
221,0,1,0,0,1
222,0,1,1,1,0
223,1,1,1,1,1
224,0,1,0,1,0
225,0,0,0,1,0
226,0,1,0,0,0
227,1,0,1,0,1
228,0,1,1,1,1
229,1,1,0,1,0
230,0,0,1,1,1
231,1,0,0,1,0
232,0,0,0,0,1
233,0,1,0,1,0
234,0,0,1,0,1
235,1,0,1,0,1
236,0,1,0,0,0
237,1,1,0,1,1
238,1,0,0,1,0
239,1,0,0,0,1
240,1,0,1,1,1
241,1,0,1,0,1
242,0,0,0,1,0
243,0,1,1,1,0
244,1,1,0,0,1
245,0,0,0,0,0
246,0,0,0,0,0
247,0,1,0,0,0
248,1,1,1,0,0
249,1,1,1,1,1
250,0,0,1,0,0
251,1,0,0,1,1
252,1,1,0,1,0
253,1,0,1,0,0
254,1,1,1,0,0
255,1,1,1,1,1
256,0,0,0,1,1
257,1,1,1,1,0
258,0,1,0,0,1
259,0,0,0,0,0
260,1,1,0,0,1
261,1,1,1,1,0
262,1,1,0,0,1
263,0,0,1,0,1
264,0,0,1,1,0
265,0,1,1,1,1
266,1,1,0,1,0
267,1,1,1,0,1
268,0,0,0,1,0
269,1,1,1,1,0
270,0,1,0,0,0
271,1,0,1,1,0
272,0,0,0,0,0
273,1,1,1,1,0
274,0,0,1,1,1
275,0,1,0,1,1
276,1,1,1,0,1
277,0,0,0,1,1
278,1,1,1,0,0
279,0,0,1,1,1
280,0,0,1,0,0
281,1,1,1,0,0
282,1,1,1,0,1
283,0,1,0,1,1
284,1,0,1,1,1
285,0,0,1,0,1
286,1,0,1,1,0
287,1,1,1,0,0
288,0,0,1,1,0
289,1,0,1,1,0
290,1,1,1,0,1
291,1,0,0,0,1
292,0,0,1,1,1
293,1,0,0,0,1
294,0,1,1,0,1
